단어,수
이재명,4909
더불어민주당,3722
대표님,3709
응원합니다,2437
파이팅,1613
꼭,1107
이,1055
안,1054
진교훈,1025
합니다,1021
잘,906
힘내세요,892
의원님,823
너무,792
더불어민주당은,730
좀,683
수,679
더,676
당,675
제발,673
왜,669
함께,584
말고,572
건강,563
다,531
할,514
바랍니다,512
하는,510
단식,509
감사합니다,504
박광온,503
한,501
홍익표,492
정말,478
탄핵,474
끝까지,473
대표,467
우리,466
사랑합니다,456
민주당,446
더불어민주당이,445
주세요,439
의원님들,427
대통령,424
있는,422
위해,416
거,388
게,383
고민정,379
정청래,373
없는,372
진짜,370
지지합니다,363
하고,355
하지,354
존경합니다,353
국민이,351
있습니다,337
일,331
것,324
이제,322
이재명대표님,321
못,319
반드시,307
국민을,304
모두,303
많이,301
그,299
최고,298
파이팅입니다,296
대한민국,295
의원들,291
후보님,291
의원,290
항상,287
빨리,284
없다,284
정신,281
조국,279
한다,278
화이팅,270
참,267
국민,266
대표님과,260
총선,260
또,259
뭐,259
있다,259
님,258
하세요,258
나라,254
나라를,254
똘똘,252
겁니다,250
됩니다,249
더불어민주당을,248
지금,246
윤석열,244
대표님을,228
해라,222
힘을,221
보고,220
한동훈,216
국민들이,215
국민의,213
같은,210
역시,210
원내대표님,210
검사,207
승리,205
이런,205
이상민,201
원내대표,200
제대로,199
그리고,197
열심히,196
때,192
해야,192
강하게,191
잘한다,190
검찰,188
무슨,188
것입니다,186
좋은,186
건,180
국민들,180
나라가,178
늘,176
교훈,175
모든,175
모습,175
전,175
이렇게,173
다시,171
더불어더불어민주당,171
진,171
그냥,168
하나,168
큰,167
저,164
부결,163
건강하세요,162
응원,160
얼마나,159
말,158
정치,158
번,157
응원하고,157
고맙습니다,155
장관님,155
대표가,152
부탁드립니다,152
없습니다,152
사퇴하라,151
기원합니다,150
이재명은,150
절대,150
더불어민주당의,148
오늘,148
하면,146
대통령님,144
대표를,144
위해서,144
해주세요,144
힘내시고,144
이재명이,143
주십시오,143
중심으로,142
힘내십시오,142
어떻게,141
마라,140
단식을,139
것이다,138
마세요,138
믿습니다,137
될,136
납니다,135
국민은,134
앞으로,134
지지하고,133
민주,131
적극,131
울,130
더불어민주당에,127
마음이,127
똑바로,126
바로,126
오직,126
같이,125
그만,125
무조건,125
이상,125
뭘,124
사람,124
좋아요,124
대표님의,123
강서구,122
줄,122
되는,121
여러분,121
해,121
내,119
민주당이,119
뭉쳐,118
이재명을,117
국민들은,116
국회의원,116
그렇게,116
때문에,116
것이,115
국민과,115
강한,113
내년,113
더불어,113
마시고,113
서영교,113
믿고,112
박찬대,112
아직도,112
의원들은,112
많은,111
말로만,111
온,111
표,111
걸,110
대표님이,110
이재명의,110
힘,110
누가,108
않는,108
하냐,108
건강이,107
보기,107
사람이,107
계속,106
당선,106
뭉쳐서,106
잘하고,106
힘이,106
다른,105
당원,105
눈물이,104
든든합니다,104
반갑습니다,104
당장,102
하라,102
위한,101
우리가,100
축하드립니다,100
행동으로,100
가결,99
강서구청장,99
걱정됩니다,99
말만,99
민주당은,99
일을,99
말씀,98
분,98
사퇴해라,98
체포,98
ㅠㅠ,97
당원들이,97
필요,97
후보,97
것을,95
고,95
대한민국을,95
거야,94
대한민국의,94
이번,94
눈물,93
부디,93
명,92
되어,91
있는데,91
지켜주세요,91
더불어민주당도,90
보면,90
아닌,90
원내,90
최고입니다,90
아,89
기도합니다,88
보니,88
합시다,88
듯,87
당론으로,86
아니라,86
진정한,86
이게,85
정권,85
대표님은,84
두,84
송갑석,84
이젠,84
좋습니다,84
하는데,84
그런,83
동의안,83
만들어,83
진심으로,83
있어요,82
국민들의,81
대한,81
된다,81
먼저,81
와,81
지지,81
소리,80
아주,80
않고,80
야당,80
저런,80
하겠습니다,80
해도,80
감사드립니다,79
목숨,79
뭉쳐야,79
아닙니다,79
은,79
하루빨리,79
걸고,78
서은숙,78
알고,78
대선,77
된,77
말이,77
몸,77
싸워라,77
씨,77
언제나,77
우리는,77
우리의,77
희망입니다,77
김민석,76
마음,76
이제는,76
최고위원,76
구청장,75
박정현,75
새로운,75
입니다,75
가,74
대통령이,74
있게,74
고생,73
민생,73
승리하세요,73
최고위원님,73
같습니다,72
것은,72
공천,72
그만하세요,72
도대체,72
살고,72
어떤,72
간절히,71
건강을,71
내가,71
선거,71
아니다,71
응원하겠습니다,71
이해찬,71
존경하고,71
가서,70
만세,70
뭔,70
병원으로,70
아픕니다,70
이낙연,70
주시길,70
특검,70
희망,70
개,69
대표는,69
민주주의,69
보여주세요,69
오늘도,69
자기,69
강력하게,68
당원들,68
등,68
수고,68
없이,68
탈당,68
건강한,67
그래도,67
기대합니다,67
너무너무,67
않습니다,67
장관,67
차려라,67
합니까,67
가슴이,66
것도,66
더욱,66
을,66
총선에서,66
최고위,66
그래야,65
다음,65
아니고,65
있을,65
최고의,65
최고의원님,65
환영합니다,65
거다,64
건강하셔야,64
나는,64
년,64
맨날,64
사퇴,64
싸워,64
아무것도,64
없고,64
싸워야,63
아니,63
지,63
희망이,63
강서,62
나,62
네,62
더불어민주당으로,62
말을,62
박광온은,62
분들,62
챙기시고,62
?,61
건강하시고,61
도,61
모습을,61
생각,61
수가,61
싸워주세요,61
정치를,61
해서,61
힘내라,61
일이,60
지켜,60
차리고,60
챙기세요,60
ㅠ,59
갑시다,59
나의,59
당론,59
많으십니다,59
문재인,59
박주민,59
빕니다,59
승리합시다,59
이상민의원님,59
축하합니다,59
텐데,59
하시고,59
가는,58
김동연,58
난,58
민생을,58
못하는,57
이재명과,57
재명,57
제,57
추석,57
하나로,57
건지,56
봅니다,56
앞에,56
윤,56
자,56
힘차게,56
날,55
놈들,55
다들,55
뜻을,55
말도,55
보는,55
시간,55
없어요,55
역풍,55
요즘,55
의원들이,55
의원은,55
지금은,55
해야지,55
계십니다,54
만,54
명예,54
빠른,54
승리를,54
싶습니다,54
압승,54
용혜인,54
중단해,54
한심한,54
가장,53
독재,53
밀정,53
저도,53
최선을,53
거냐,52
겁니까,52
너무나,52
네가,52
대,52
대표와,52
드립니다,52
민주주의를,52
탄핵을,52
탄핵하라,52
하는지,52
대표님께,51
더불어민주당에서,51
최고위원님들,51
한번,51
함,51
해요,51
ㅎㅎ,50
가자,50
국민들을,50
그래서,50
그만하고,50
나가라,50
눈,50
당을,50
보입니다,50
않을,50
압도적으로,50
언제,50
인간,50
있네,50
장경태,50
투표,50
강서구민,49
거라,49
격하게,49
국회,49
당신이,49
더불어민주당아,49
살,49
와서,49
위하여,49
일하는,49
200석,48
ㅡ,48
너,48
당신,48
들,48
생각이,48
요,48
이미,48
있으니,48
지켜보고,48
가라,47
고민정은,47
과,47
구청장님,47
국민의힘,47
너희들,47
모르는,47
범죄,47
사는,47
사람들,47
아니면,47
아직,47
이번에,47
있어,47
잘하는,47
전원,47
정부,47
좋겠습니다,47
차기,47
것들,46
경제,46
계셔서,46
국민의힘당,46
당원이,46
돈,46
때까지,46
발의,46
보내세요,46
석,46
승리할,46
싫다,46
어찌,46
얼굴,46
주셔서,46
지켜야,46
함께합니다,46
현,46
가지고,45
나도,45
나라의,45
마음을,45
싸울,45
아닌가,45
아웃,45
않은,45
어느,45
중단,45
확실히,45
가세요,44
가즈아,44
나라와,44
더불어민주당과,44
되지,44
분이,44
속,44
승리합니다,44
않으면,44
압도적,44
원하는,44
이재명이다,44
있도록,44
찐,44
행동하라,44
구속,43
나쁜,43
단식은,43
당원과,43
모습으로,43
사람들이,43
원내대표는,43
저렇게,43
정치인,43
중,43
한다고,43
홧팅,43
같아요,42
거지,42
국회의원들,42
나가세요,42
내세요,42
되면,42
머,42
모두가,42
밀고,42
볼,42
양평,42
우리나라,42
원합니다,42
있고,42
제일,42
지지하는,42
당대표님,41
뭐가,41
보다,41
사람은,41
수사,41
시,41
알,41
완전,41
인간들,41
있다는,41
있으면,41
조작,41
좋네요,41
참으로,41
필승,41
힘든,41
그리,40
난다,40
대로,40
더욱더,40
돼요,40
맞는,40
명절,40
모아,40
받을,40
법,40
보냅니다,40
봐,40
승리하시길,40
아무,40
않는다,40
없네,40
없어,40
예산,40
총선에,40
필요한,40
하지만,40
김건희,39
김진표,39
되고,39
많으셨습니다,39
맞서,39
병원,39
생각합니다,39
속이,39
안됩니다,39
언제까지,39
없으면,39
의원이,39
지키는,39
최고다,39
하면서,39
하셨습니다,39
감사하고,38
갑니다,38
건가요,38
곧,38
나와,38
당원들의,38
되길,38
몇,38
모시고,38
무도한,38
이재명님,38
있냐,38
전에,38
좋다,38
크게,38
ㅎ,37
갈,37
관심,37
대통령은,37
되시길,37
말하는,37
못하면,37
문제,37
바란다,37
뵈니,37
부정선거,37
서용주,37
싶다,37
이끌어,37
전부,37
정책,37
조심하세요,37
중단하시고,37
혁신안,37
회복,37
희망을,37
같은데,36
거예요,36
걱정입니다,36
건희,36
국민만,36
당선되시길,36
당원들은,36
도와주세요,36
말은,36
매일,36
멋지다,36
멋진,36
보여,36
사랑하고,36
산다,36
스스로,36
아무리,36
이소영,36
이유가,36
일은,36
입만,36
있나,36
있다고,36
있어서,36
저는,36
존경하는,36
지난,36
지사님,36
진심,36
차리세요,36
투쟁,36
행동을,36
가슴,35
가야,35
가열하게,35
같아,35
국힘,35
근데,35
능력,35
다해,35
단,35
대표님께서,35
맙시다,35
먹고,35
믿을,35
부탁합니다,35
세상,35
송영길,35
수박들,35
싸우는,35
싸우지,35
쓰레기,35
아는,35
않게,35
이깁니다,35
있지,35
철저히,35
하니,35
ㅜㅜ,34
같다,34
건데,34
결국,34
국회에서,34
그동안,34
김,34
답이다,34
만큼,34
못하게,34
민주당에,34
바라는,34
비리,34
수고하셨습니다,34
아님,34
어휴,34
오로지,34
인간이,34
죄가,34
하네,34
강서구청,33
건강하시길,33
국민들에게,33
국민에게,33
그게,33
내부,33
넘,33
당선을,33
두고,33
만든,33
말로,33
맘이,33
멋지십니다,33
목소리,33
무능한,33
삶을,33
서로,33
세금,33
수도,33
없으니,33
윤석열을,33
이대표님,33
이동관,33
입으로만,33
제발요,33
조용히,33
중요한,33
챙기셔야,33
함께해,33
